64,0.3230,0.0304,0.2758,0.1265
100,0.3504,0.0267,0.3050,0.0817
128,0.3671,0.0418,0.3233,0.0196
200,0.3856,0.3913,0.3187,0.1897
256,0.3913,0.4959,0.3287,0.0092
512,0.4008,0.4870,0.3380,0.0462
