64,7378.3444,558.7959,18662.9120,110.7602
100,7594.8546,348.1200,18326.3357,10465.3610
128,7493.3345,374.2425,18714.0627,12637.1374
200,7675.4024,20739.4001,7649.9747,9603.6427
256,7633.7352,21415.4418,7364.5437,9965.1136
512,7081.6109,17602.6022,11589.7260,10192.8730
600,7079.6797,12707.3810,11258.6897,9832.2212
900,7195.4444,11555.5781,45137.8619,9825.0938
1024,7194.0483,17488.2702,11382.3887,10194.3981
2000,6724.2792,14185.4395,49786.4572,13328.7097
2048,14725.6390,9212.3959,0,11035.8170
3000,10092.2047,13168.7080,27105.7914,2.696172e+12
4000,16095.0288,6909.1477,0,2.178386e+12
5000,13882.2198,1.561769e+12,0,1359.4575
6000,10363.0164,4.870903e+11,0,71.9718
10000,13262.3991,1.088143e+11,0,5.840614e+10
